Currency,Date,Open,High,Low,Close,Volume,Market Cap
ethereum,01/15/18,1365.21,1390.59,1290.6,1291.92,4781100000,1.32404E+11
ethereum,01/14/18,1397.48,1400.56,1286.21,1366.77,4841630000,1.35503E+11
ethereum,01/13/18,1270.47,1432.88,1270.47,1396.42,5746760000,1.23163E+11
ethereum,01/12/18,1158.29,1296.04,1120.09,1273.2,5222300000,1.12263E+11
ethereum,01/11/18,1268.09,1337.3,1135.17,1154.93,7235900000,1.22879E+11
ethereum,01/10/18,1300.34,1417.38,1226.6,1255.82,9214950000,1.25976E+11
ethereum,01/09/18,1146,1320.98,1145.49,1299.74,7965460000,1.10999E+11
ethereum,01/08/18,1158.26,1266.93,1016.05,1148.53,8450970000,1.12164E+11
ethereum,01/07/18,1043.01,1153.17,1043.01,1153.17,5569880000,1.00981E+11
ethereum,01/06/18,995.15,1060.71,994.62,1041.68,4662220000,96326500000
ethereum,01/05/18,975.75,1075.39,956.33,997.72,6683150000,94423900000
ethereum,01/04/18,961.71,1045.08,946.09,980.92,6502860000,93049400000
ethereum,01/03/18,886,974.47,868.45,962.72,5093160000,85703500000
ethereum,01/02/18,772.35,914.83,772.35,884.44,5783350000,74695700000
ethereum,01/01/18,755.76,782.53,742,772.64,2595760000,73075800000
ethereum,12/31/17,712.21,760.35,710.12,756.73,2554270000,68850800000
ethereum,12/30/17,753.82,753.82,685.23,717.26,3187780000,72856900000
ethereum,12/29/17,740.39,770.12,729.61,753.59,2648970000,71544300000
ethereum,12/28/17,762.21,763.32,701.19,737.02,2389150000,73637100000
ethereum,12/27/17,774.97,789.25,738.41,762.84,2100030000,74854100000
ethereum,12/26/17,763.37,786.79,760.93,773.84,2201160000,73717800000
ethereum,12/25/17,698.87,782.52,698.87,765.83,2491760000,67475100000
ethereum,12/24/17,721.77,721.77,614.92,694.15,2300550000,69671200000
ethereum,12/23/17,681.32,763.89,679.73,719.39,2480340000,65752100000
ethereum,12/22/17,822.64,827.68,543.76,674.86,4977710000,79374400000
ethereum,12/21/17,820.24,880.54,792.69,821.06,3569060000,79125300000
ethereum,12/20/17,827.52,845.06,756,819.09,3969940000,79810600000
ethereum,12/19/17,793.9,881.94,785.34,826.82,4096550000,76552200000
ethereum,12/18/17,721.73,803.93,689.23,794.64,3249230000,69578400000
ethereum,12/17/17,696.24,735.83,696.24,719.98,2147390000,67106400000
ethereum,12/16/17,686.19,718.38,680.79,696.21,2165690000,66124200000
ethereum,12/15/17,696.38,697.13,621.06,684.45,2758710000,67090900000
ethereum,12/14/17,700.59,753.12,664.99,695.82,3821580000,67482900000
ethereum,12/13/17,644.91,747.99,597.8,702.77,4524540000,62105600000
ethereum,12/12/17,522.29,657.32,504.49,651.43,5179830000,50286400000
ethereum,12/11/17,440.36,516.97,439.1,515.14,1771440000,42389300000
ethereum,12/10/17,472.79,472.79,429.51,441.72,1404180000,45501400000
ethereum,12/09/17,457.34,504.15,456.25,473.5,2003850000,44005600000
ethereum,12/08/17,434.99,466.06,422.37,456.03,2336380000,41845800000
ethereum,12/07/17,426.37,441.4,414.41,434.41,2129570000,41007600000
ethereum,12/06/17,462.6,462.71,420.21,428.59,1998260000,44483100000
ethereum,12/05/17,470.29,473.56,457.66,463.28,1216720000,45212800000
ethereum,12/04/17,466.05,474.78,453.31,470.2,1005550000,44795700000
ethereum,12/03/17,463.7,482.81,451.85,465.85,990557000,44560500000
ethereum,12/02/17,466.85,476.24,456.65,463.45,943650000,44853300000
ethereum,12/01/17,445.21,472.61,428.31,466.54,1247880000,42765000000
ethereum,11/30/17,431.21,465.5,401.24,447.11,1903040000,41411900000
ethereum,11/29/17,473.28,522.31,425.07,427.52,2675940000,45442100000
ethereum,11/28/17,480.52,482.48,466.35,472.9,1346500000,46127200000
ethereum,11/27/17,471.53,493.4,468.49,480.36,1396480000,45255000000
ethereum,11/26/17,465.97,472.72,451.61,471.33,1197780000,44712100000
ethereum,11/25/17,475.68,485.19,461.05,466.28,1422080000,45633400000
ethereum,11/24/17,412.5,480.97,402.76,474.91,2292830000,39564300000
ethereum,11/23/17,381.44,425.55,376.09,410.17,1845680000,36577300000
ethereum,11/22/17,360.31,381.42,360.15,380.65,800819000,34544000000
ethereum,11/21/17,367.44,372.47,350.69,360.4,949912000,35220200000
ethereum,11/20/17,354.09,372.14,353.29,366.73,807027000,33933400000
ethereum,11/19/17,347.4,371.29,344.74,354.39,1181530000,33284900000
ethereum,11/18/17,331.98,349.62,327.69,347.61,649639000,31800700000
ethereum,11/17/17,330.17,334.96,327.52,332.39,621733000,31620300000
ethereum,11/16/17,333.44,336.16,323.61,330.92,797254000,31927300000
ethereum,11/15/17,337.96,340.91,329.81,333.36,722666000,32353200000
ethereum,11/14/17,316.76,340.18,316.76,337.63,1069680000,30317300000
ethereum,11/13/17,307.02,328.42,307.02,316.72,1041890000,29379000000
ethereum,11/12/17,314.69,319.15,298.51,307.91,1613480000,30106200000
ethereum,11/11/17,298.59,319.45,298.19,314.68,842301000,28559400000
ethereum,11/10/17,320.67,324.72,294.54,299.25,885986000,30665200000
ethereum,11/09/17,308.64,329.45,307.06,320.88,893250000,29509000000
ethereum,11/08/17,294.27,318.7,293.1,309.07,967956000,28128700000
ethereum,11/07/17,298.57,304.84,290.77,294.66,540766000,28533300000
ethereum,11/06/17,296.43,305.42,293.72,298.89,579359000,28322700000
ethereum,11/05/17,300.04,301.37,295.12,296.26,337658000,28661500000
ethereum,11/04/17,305.48,305.48,295.8,300.47,416479000,29175300000
ethereum,11/03/17,288.5,308.31,287.69,305.71,646340000,27547400000
ethereum,11/02/17,290.73,293.91,281.17,287.43,904901000,27754200000
ethereum,11/01/17,305.76,306.4,290.58,291.69,553864000,29183600000
ethereum,10/31/17,307.38,310.55,305.88,305.88,369583000,29331500000
ethereum,10/30/17,304.78,310.5,304.35,307.75,331442000,29077600000
ethereum,10/29/17,296.38,313.75,296.38,305.09,551752000,28270200000
ethereum,10/28/17,297.92,300.36,293.58,296.3,264424000,28410400000
ethereum,10/27/17,296.51,299.26,294.06,297.42,257169000,28270100000
ethereum,10/26/17,298.02,301.07,295.22,296.53,270273000,28408400000
ethereum,10/25/17,298.44,301.85,290.72,297.93,325040000,28442000000
ethereum,10/24/17,287.12,311.96,282.66,298.33,684281000,27357500000
ethereum,10/23/17,295.1,295.75,277.57,286.95,482336000,28111400000
ethereum,10/22/17,300.55,305.5,292.81,295.45,327387000,28624800000
ethereum,10/21/17,303.57,303.93,291.77,300.19,408014000,28906600000
ethereum,10/20/17,308.05,311.44,303.49,304.01,396673000,29326300000
ethereum,10/19/17,314.54,316.71,305.83,308.09,349830000,29937900000
ethereum,10/18/17,316.94,317.24,290.64,314.32,606114000,30160500000
ethereum,10/17/17,333.48,333.48,311.79,317.08,509924000,31727700000
ethereum,10/16/17,336.71,349.35,332.04,333.38,692885000,32029200000
ethereum,10/15/17,339.53,342.72,320.43,336.6,635407000,32292100000
ethereum,10/14/17,338.85,347.98,334.7,339.63,516562000,32222400000
ethereum,10/13/17,304.08,348.6,299.66,338.76,1304360000,28911100000
ethereum,10/12/17,303.5,309.15,303.29,304.14,527557000,28851200000
ethereum,10/11/17,301.18,304.39,299.1,303.46,264146000,28626300000
ethereum,10/10/17,297.6,306.15,293.17,299.87,359706000,28281400000
ethereum,10/09/17,308.67,309.31,288.19,297.39,559467000,29328300000
ethereum,10/08/17,311.06,312.54,308.03,308.61,293167000,29550900000
ethereum,10/07/17,308.89,313.13,304.98,311.12,342205000,29340400000
ethereum,10/06/17,295.15,308.84,294.95,308.59,318664000,28031100000
ethereum,10/05/17,292.77,298.04,288.84,295.86,253747000,27800400000
ethereum,10/04/17,292.75,299.39,290.89,292.66,257906000,27794100000
ethereum,10/03/17,297.48,300.11,288.13,292.46,321680000,28238500000
ethereum,10/02/17,302.48,302.92,294.58,297.48,339443000,28708500000
ethereum,10/01/17,301.55,303.19,295.06,302.34,306185000,28615200000
ethereum,09/30/17,291.48,303.96,291.11,301.46,332439000,27655200000
ethereum,09/29/17,299.12,299.92,279.77,291.47,541375000,28375900000
ethereum,09/28/17,306.47,307.2,295.47,299.15,501894000,29068700000
ethereum,09/27/17,287.02,308.01,286.82,306.47,550244000,27219400000
ethereum,09/26/17,292.35,293.75,287.02,287.44,345801000,27720000000
ethereum,09/25/17,282.22,293.51,281.88,292.33,483161000,26755500000
ethereum,09/24/17,286.21,292.95,278.13,282.48,571411000,27129900000
ethereum,09/23/17,264.6,286.17,261.12,286.17,450934000,25077100000
ethereum,09/22/17,258.11,270.54,256.22,264.31,430081000,24458400000
ethereum,09/21/17,283.26,286.61,255.02,258.58,601266000,26836000000
ethereum,09/20/17,282.01,290.89,278.05,283.74,421404000,26712400000
ethereum,09/19/17,293.66,295.77,274.48,282.8,646909000,27809300000
ethereum,09/18/17,252.23,293.5,252.23,293.5,1127750000,23881200000
ethereum,09/17/17,245.85,257,235.24,251.75,427452000,23272500000
ethereum,09/16/17,250.87,262.59,238.22,246.52,711737000,23742600000
ethereum,09/15/17,215.22,258.65,195.03,250.46,1935700000,20364900000
ethereum,09/14/17,276.59,280.84,213.91,213.91,1184590000,26166100000
ethereum,09/13/17,291.12,291.12,260.61,277.11,921692000,27535700000
ethereum,09/12/17,294.63,311.19,287.23,291.46,753144000,27861800000
ethereum,09/11/17,289.75,300.69,286.69,294.53,571307000,27394400000
ethereum,09/10/17,294.06,294.76,268.97,288.75,698326000,27797200000
ethereum,09/09/17,296.17,299.89,287.22,294.4,528621000,27990500000
ethereum,09/08/17,329.64,329.64,285.16,296.5,1098780000,31147200000
ethereum,09/07/17,333.52,333.52,319.94,329.43,718624000,31507500000
ethereum,09/06/17,313.8,334.66,313.49,334.34,1058830000,29639100000
ethereum,09/05/17,297.57,318.57,268.29,312.99,1551050000,28100000000
ethereum,09/04/17,347.13,347.13,279.94,295.17,1801690000,32774000000
ethereum,09/03/17,350.23,366.49,332.23,347.48,986266000,33059800000
ethereum,09/02/17,387.82,389.35,328.1,348.98,1483600000,36601200000
ethereum,09/01/17,383.47,390.04,383.47,387.74,874222000,36182900000
